,rank,name,original_price,sale_price
182,183,삼성전자 오디세이 G5 S32DG500 81cm 게이밍모니터 180Hz 1ms 프리싱크 피벗 스위블 QHD 지싱크호환 31.6만,"473,190","340,710"
183,184,Legion 5i 15IRX9 i7 4060/ 빅스혜택가:109만/ 인텔 i7/ RTX4060/ TGP 140W/ 게이밍노트북,"1,910,000","1,719,000"
184,185,(SK텔레콤) T데이터쿠폰 5GB,"33,000","23,760"
185,186,동원 라이트 스탠다드 참치 150g 원터치 12개,"37,000","24,300"
186,187,땡큐 무형광핸드타올 2겹5000매,"26,390","22,480"
187,188,최대혜택가 39만원대 삼성 비스포크제트 220W VS20B956AUE 무선청소기 산토리니 베이지,"576,260","428,000"
188,189,오트리 하루견과 고메 10입 X 3박스,"27,900","22,800"
189,190,(스타벅스) (APP전용) e카드 3만원 교환권,N/A,"30,000"
190,191,(신선집중) 15%+10%/ 과일꾼 대봉감 5kg 20과내 중과,"19,440","13,130"
191,192,바겐슈타이거 통3중 베이비웍 외 프리미엄 프라이팬 궁중팬 냄비 주전자,"53,600","12,870"
192,193,유리 밀폐용기 직사각 10조 세트,"57,240","25,760"
193,194,24년산 철원오대쌀10kg,"59,900","53,910"
194,195,SSG직배송 캐츠랑 전연령 업그레이드 20kg,"59,000","41,130"
195,196,(맘에드림) 책과 노는 어린이 시리즈 전10권,"128,000","49,280"
196,197,SL-C563W 컬러 레이저복합기 무선 프린터기 토너포함 프린터 인쇄기 복사기 스캔 와이파이지원 정부24지원,"303,570","203,220"
197,198,스마트모니터 M7 S32DM701 화이트 80cm UHD 4K CTYPE IPTV,"462,880","344,570"
198,199,(직배수무료방문설치)로보락 S8 MaxV Ultra 로봇청소기 직배수 스테이션 /빌트인 디자인 /급수 배수 전자동,"1,910,000","1,710,000"
199,200,(개별포장/24입) 삼립호빵 발효미종 12입 호빵 1+1박스 (단팥/단팥야채/단팥피자),"25,800","19,870"
